Source,Target
7839,6760
7839,20225
7839,7221
7839,2138
7839,1334
7839,1334
7839,1527
6760,20225
6760,7221
6760,2138
6760,1334
6760,1334
6760,1527
20225,7221
20225,2138
20225,1334
20225,1334
20225,1527
7221,2138
7221,1334
7221,1334
7221,1527
2138,1334
2138,1334
2138,1527
1334,1334
1334,1527
1334,1527
3327,5028
3327,1334
3327,6457
5028,1334
5028,6457
1334,6457
8219,2509
8219,6558
2509,6558
22254,796
22254,90
22254,796
22254,1334
22254,329
796,90
796,796
796,1334
796,329
90,796
90,1334
90,329
796,1334
796,329
1334,329
5249,6758
5249,4281
5249,6559
6758,4281
6758,6559
4281,6559
6413,6559
6413,6558
6559,6558
8942,8942
8942,8942
8942,9913
8942,9913
8942,9913
8942,6349
8942,2007
8942,13729
8942,2509
8942,6262
8942,15006
8942,6330
8942,4811
8942,470
8942,8942
8942,9913
8942,9913
8942,9913
8942,6349
8942,2007
8942,13729
8942,2509
8942,6262
8942,15006
8942,6330
8942,4811
8942,470
8942,9913
8942,9913
8942,9913
8942,6349
8942,2007
8942,13729
8942,2509
8942,6262
8942,15006
8942,6330
8942,4811
8942,470
9913,9913
9913,9913
9913,6349
9913,2007
9913,13729
9913,2509
9913,6262
9913,15006
9913,6330
9913,4811
9913,470
9913,9913
9913,6349
9913,2007
9913,13729
9913,2509
9913,6262
9913,15006
9913,6330
9913,4811
9913,470
9913,6349
9913,2007
9913,13729
9913,2509
9913,6262
9913,15006
9913,6330
9913,4811
9913,470
6349,2007
6349,13729
6349,2509
6349,6262
6349,15006
6349,6330
6349,4811
6349,470
2007,13729
2007,2509
2007,6262
2007,15006
2007,6330
2007,4811
2007,470
13729,2509
13729,6262
13729,15006
13729,6330
13729,4811
13729,470
2509,6262
2509,15006
2509,6330
2509,4811
2509,470
6262,15006
6262,6330
6262,4811
6262,470
15006,6330
15006,4811
15006,470
6330,4811
6330,470
4811,470
4030,4030
4030,6893
4030,6893
4030,6893
4030,6893
4030,15584
4030,15592
4030,18994
4030,18994
4030,15584
4030,9416
4030,15592
4030,15584
4030,15584
4030,11335
4030,11335
4030,2509
4030,2509
4030,5600
4030,9419
4030,5588
4030,5595
4030,5598
4030,14071
4030,14071
4030,4030
4030,5554
4030,4222
4030,9416
4030,7464
4030,8128
4030,9421
4030,5554
4030,5554
4030,4030
4030,5554
4030,5553
4030,6893
4030,6893
4030,6893
4030,6893
4030,15584
4030,15592
4030,18994
4030,18994
4030,15584
4030,9416
4030,15592
4030,15584
4030,15584
4030,11335
4030,11335
4030,2509
4030,2509
4030,5600
4030,9419
4030,5588
4030,5595
4030,5598
4030,14071
4030,14071
4030,4030
4030,5554
4030,4222
4030,9416
4030,7464
4030,8128
